,user_id,item_id,cat_id,merchant_id,brand_id,month,day,action,age_range,gender,province
0,328862,323294,833,2882,2661.0,8,29,0,0,1,内蒙古
1,328862,844400,1271,2882,2661.0,8,29,0,1,1,山西
2,328862,575153,1271,2882,2661.0,8,29,0,2,1,山西
3,328862,996875,1271,2882,2661.0,8,29,0,1,1,内蒙古
4,328862,1086186,1271,1253,1049.0,8,29,0,0,2,浙江
5,328862,623866,1271,2882,2661.0,8,29,0,0,2,黑龙江
6,328862,542871,1467,2882,2661.0,8,29,0,5,2,四川
7,328862,536347,1095,883,1647.0,8,29,0,7,1,吉林
8,328862,364513,1271,2882,2661.0,8,29,0,1,2,贵州
9,328862,575153,1271,2882,2661.0,8,29,0,0,0,陕西
10,328862,239288,602,420,4953.0,8,1,0,6,0,北京市
11,328862,950862,962,4605,7622.0,8,1,0,1,0,天津市
12,328862,262500,602,420,4953.0,8,1,0,3,2,江苏
13,328862,1064265,614,4605,7622.0,8,1,0,0,0,安徽
14,328862,809148,602,420,4953.0,8,1,0,5,0,上海市
15,328862,197239,602,420,4953.0,8,1,0,3,0,河南
16,328862,43367,1505,3828,1446.0,5,26,0,0,0,安徽
17,328862,844535,302,3354,883.0,5,26,0,1,1,香港
18,328862,886633,1505,3828,1446.0,5,26,0,0,2,陕西
19,328862,81766,614,4605,7622.0,7,9,2,1,0,山西
20,328862,524981,664,2382,1272.0,6,2,0,5,0,甘肃
21,328862,81766,614,4605,7622.0,7,9,0,5,2,陕西
22,328862,208525,267,3073,8126.0,8,5,0,7,2,四川
23,328862,853901,267,3073,8126.0,8,5,2,7,0,山西
24,328862,1102596,267,3073,8126.0,8,5,2,1,1,山东
25,328862,963870,267,3073,8126.0,8,5,2,7,2,重庆市
26,328862,813647,267,3073,8126.0,8,5,2,7,2,福建
27,328862,208525,267,3073,8126.0,8,5,2,6,1,浙江
28,328862,943106,662,3354,883.0,5,26,0,6,1,广东
29,328862,950862,962,4605,7622.0,7,9,0,3,0,内蒙古
30,328862,943106,662,3354,883.0,5,26,0,4,0,山东
31,328862,1037824,662,4094,7749.0,5,31,0,4,2,重庆市
32,328862,339997,1432,323,320.0,5,31,0,1,2,山东
33,328862,706479,1505,780,516.0,9,21,0,6,1,云南
34,328862,544690,1095,780,516.0,9,21,0,1,2,新疆
35,328862,81766,614,4605,7622.0,8,1,2,0,0,澳门
36,328862,1064265,614,4605,7622.0,8,1,0,1,2,香港
37,328862,237512,154,883,1647.0,8,29,0,1,0,山西
38,328862,65116,614,4605,7622.0,7,9,0,6,0,山西
39,328862,261334,602,420,4953.0,8,1,0,1,2,湖北
40,328862,815434,602,420,4953.0,8,1,0,5,2,上海市
41,328862,467266,821,3354,883.0,5,26,0,7,1,新疆
42,328862,30217,1397,3354,883.0,5,26,0,6,0,江西
43,328862,142866,1238,3828,1446.0,5,26,0,1,1,四川
44,328862,542129,602,420,4953.0,8,1,0,3,1,辽宁
45,328862,1089499,154,883,1647.0,8,29,0,2,2,江苏
46,328862,19195,602,420,4953.0,8,1,0,4,0,青海
47,328862,81766,614,4605,7622.0,7,9,0,6,2,台湾
48,328862,81766,614,4605,7622.0,7,9,0,1,0,宁夏
49,328862,81766,614,4605,7622.0,7,9,0,1,2,安徽
50,328862,1064265,614,4605,7622.0,7,9,0,5,0,甘肃
51,328862,93242,1505,780,516.0,9,21,0,1,0,贵州
52,328862,605963,1467,4432,1209.0,9,21,0,4,0,四川
53,328862,402928,602,420,4953.0,8,1,0,2,1,吉林
54,328862,589922,1095,780,516.0,9,21,0,7,1,青海
55,328862,267067,1208,1200,2276.0,9,8,0,4,0,江西
56,328862,313424,614,4043,7178.0,10,13,0,6,1,内蒙古
57,328862,697491,662,3828,1446.0,5,26,0,0,1,安徽
58,328862,1113102,1505,3828,1446.0,5,26,0,0,2,湖南
59,328862,452003,1505,3828,1446.0,5,26,0,4,2,河北
60,328862,698158,1505,3828,1446.0,5,26,0,5,1,宁夏
61,328862,81766,614,4605,7622.0,8,1,0,3,0,新疆
62,328862,313424,614,4043,7178.0,10,13,0,5,2,北京市
63,328862,218471,302,3828,1446.0,5,26,0,5,0,辽宁
64,328862,81766,614,4605,7622.0,8,1,0,1,1,北京市
65,328862,751744,602,420,4953.0,8,1,0,5,2,北京市
66,328862,440930,1271,2882,2661.0,8,29,0,6,1,西藏
67,328862,575153,1271,2882,2661.0,8,29,3,7,0,宁夏
68,328862,623866,1271,2882,2661.0,8,29,3,3,0,江西
69,328862,880162,1271,2882,2661.0,8,29,0,6,2,湖南
70,328862,1021873,1271,2882,2661.0,8,29,0,7,1,河北
71,328862,1091221,1271,591,418.0,8,29,0,6,1,香港
72,328862,1110047,1271,2882,2661.0,8,29,0,7,1,海南
73,328862,418334,1271,2882,2661.0,8,29,0,3,2,江苏
74,328862,547309,1467,1253,7907.0,8,29,0,7,0,上海市
75,328862,575153,1271,2882,2661.0,8,29,0,1,2,湖北
76,328862,291985,656,2882,2661.0,8,29,0,6,1,河北
77,328862,582564,1271,2882,2661.0,8,29,0,7,0,青海
78,328862,985405,656,2882,2661.0,8,29,0,2,0,海南
79,328862,216494,1271,2882,2661.0,8,29,0,7,0,澳门
80,328862,364513,1271,2882,2661.0,8,29,0,3,2,澳门
81,328862,328577,1095,883,1647.0,8,29,0,1,0,青海
82,328862,845130,1467,2882,2661.0,8,29,0,5,0,湖北
83,328862,351462,1553,3925,2031.0,8,29,0,3,0,湖北
84,328862,22064,1271,2882,2661.0,8,29,0,1,2,山东
85,328862,439895,1467,1253,328.0,8,29,0,3,1,广东
86,328862,1047122,1271,2882,2661.0,8,29,0,2,2,上海市
87,328862,315621,1271,1253,7907.0,8,29,0,3,0,澳门
88,328862,216494,1271,2882,2661.0,8,29,0,0,2,台湾
89,328862,709455,1271,2882,2661.0,8,29,0,7,2,香港
90,328862,832524,1467,2882,2661.0,8,29,0,3,2,天津市
91,328862,447269,154,883,1647.0,8,29,0,1,0,江西
92,328862,702304,821,1138,4104.0,8,23,0,7,0,海南
93,328862,336583,662,4924,856.0,6,15,0,7,1,青海
94,328862,577161,662,4094,7749.0,6,15,0,2,1,江西
95,328862,42828,1397,3354,883.0,6,15,0,3,2,浙江
96,328862,157010,1095,883,1647.0,6,15,0,4,0,海南
97,328862,484676,267,3073,8126.0,10,2,2,2,0,浙江
98,328862,1024236,1577,1138,4104.0,10,2,0,2,2,台湾
99,328862,99493,387,1138,4104.0,10,2,0,1,1,四川
100,328862,251929,1438,639,1565.0,10,2,0,2,2,西藏
101,328862,484676,267,3073,8126.0,10,2,0,7,2,江苏
102,328862,251929,1438,639,1565.0,10,2,2,5,0,吉林
103,328862,484676,267,3073,8126.0,10,2,2,1,2,浙江
104,328862,251929,1438,639,1565.0,10,2,2,5,0,江苏
105,328862,484676,267,3073,8126.0,10,2,2,5,2,江西
106,328862,484676,267,3073,8126.0,10,2,2,6,2,新疆
107,328862,484676,267,3073,8126.0,10,2,2,0,2,广东
108,328862,267067,1208,1200,2276.0,9,6,0,7,2,陕西
109,328862,267067,1208,1200,2276.0,9,6,2,4,0,四川
110,328862,267067,1208,1200,2276.0,9,6,0,0,2,广东
111,328862,267067,1208,1200,2276.0,9,6,2,3,0,辽宁
112,328862,499898,614,4605,7622.0,7,11,0,4,2,内蒙古
113,328862,1068751,56,4488,5625.0,5,20,0,7,1,陕西
114,328862,73839,1505,2720,1005.0,6,19,0,0,1,重庆市
115,328862,609965,1118,167,6065.0,7,23,0,7,1,河南
116,328862,428643,662,461,1859.0,7,27,3,5,1,山东
117,328862,197818,662,461,1859.0,7,27,0,2,0,山西
118,328862,834814,662,461,1859.0,7,27,0,1,2,广东
119,328862,169025,1577,3828,1446.0,6,20,0,5,1,北京市
120,328862,359016,1271,4438,2427.0,6,20,0,1,1,江苏
121,328862,43421,833,3719,4771.0,6,19,0,6,0,台湾
122,328862,169025,1577,3828,1446.0,6,19,2,5,0,甘肃
123,328862,712703,1238,3828,1446.0,6,19,0,6,0,北京市
124,328862,169025,1577,3828,1446.0,6,19,0,1,0,江苏
125,328862,488385,833,1692,2235.0,6,19,0,0,1,云南
126,328862,842597,1553,1138,4104.0,11,2,0,6,1,江苏
127,328862,217103,389,1138,4104.0,11,2,0,6,2,天津市
128,328862,431009,1577,3828,1446.0,11,2,0,1,0,四川
129,328862,161758,748,1138,4104.0,11,2,0,4,1,江西
130,328862,258882,1142,1138,4104.0,11,2,0,1,0,黑龙江
131,328862,156988,1095,1138,4104.0,11,2,0,7,2,河南
132,328862,352135,662,461,1859.0,7,27,0,0,1,宁夏
133,328862,244223,662,461,1859.0,7,27,0,7,0,福建
134,328862,202407,662,461,1859.0,7,27,0,7,1,福建
135,328862,1026544,1467,437,801.0,7,27,0,0,0,上海市
136,328862,202407,662,461,1859.0,7,27,0,2,2,宁夏
137,328862,263868,662,461,1859.0,7,27,0,6,0,山西
138,328862,819025,1577,461,1859.0,7,27,0,7,2,湖北
139,328862,920806,662,461,1859.0,7,27,0,1,2,宁夏
140,328862,428643,662,461,1859.0,7,27,0,2,2,青海
141,328862,348356,662,461,1859.0,7,27,0,0,1,湖北
142,328862,73392,662,461,1859.0,7,27,0,6,2,上海市
143,328862,1014024,662,461,1859.0,7,27,0,6,2,河南
144,328862,629649,662,461,1859.0,7,27,0,2,1,天津市
145,328862,629649,662,461,1859.0,7,27,0,2,0,台湾
146,328862,274189,662,461,1859.0,7,27,0,2,1,山西
147,328862,428643,662,461,1859.0,7,27,0,5,0,辽宁
148,328862,971563,1467,1003,2593.0,10,26,0,7,2,云南
149,328862,971563,1467,1003,2593.0,10,26,0,2,2,北京市
150,328862,294555,267,1867,3243.0,10,26,0,1,1,江西
151,328862,506491,389,1138,4104.0,11,2,0,0,1,湖南
152,328862,636524,1591,1138,4104.0,8,23,0,3,2,广西
153,328862,972269,154,1138,4104.0,8,23,0,0,2,河北
154,328862,162308,387,1138,4104.0,8,23,0,5,2,福建
155,328862,702304,821,1138,4104.0,8,23,0,3,1,澳门
156,328862,482931,1591,1138,4104.0,8,23,0,4,2,陕西
157,328862,702304,821,1138,4104.0,8,23,2,0,1,黑龙江
158,328862,401830,1397,1138,4104.0,8,20,0,2,1,贵州
159,328862,866829,662,1138,4104.0,8,20,0,4,1,澳门
160,328862,257104,1397,1138,4104.0,8,20,0,2,2,青海
161,328862,741932,387,1138,4104.0,8,20,0,7,0,广西
162,328862,362266,1577,2412,4801.0,6,1,0,2,1,江西
163,328862,787310,895,3948,735.0,9,27,0,5,2,云南
164,328862,469250,407,4109,511.0,7,8,0,4,0,北京市
165,328862,1094497,407,4109,511.0,7,8,0,1,2,江苏
166,328862,1094497,407,4109,511.0,7,8,2,6,1,河北
167,328862,711042,1095,2412,4801.0,7,8,0,7,0,辽宁
168,328862,805378,407,4109,511.0,7,8,0,0,2,河北
169,328862,896716,407,4109,511.0,7,8,0,3,2,安徽
170,328862,1094497,407,4109,511.0,7,8,0,3,0,安徽
